date_played,num_players,num_teams,num_hands,high_score,points_to_play_to,game_id
2017-09-29 18:13:01.066000,2,0,7,11,11,59ce8d2d2fa6a8000f669e62
2017-09-29 18:19:25.594000,0,0,4,0,11,59ce8ead2fa6a8000f669e78
2017-09-29 18:23:01.058000,2,0,6,11,11,59ce8f852fa6a8000f669e88
2017-09-29 18:27:26.940000,0,0,1,0,11,59ce908e2fa6a8000f669e9d
2017-10-03 05:30:09.216000,0,0,1,0,11,59d320613afff80010feecb4
2017-10-03 16:58:05.713000,0,0,0,0,11,59d3c19df50d05001055b063
2017-10-03 16:58:19.063000,0,0,0,0,11,59d3c1abf50d05001055b065
2017-10-03 17:49:01.010000,3,0,7,12,11,59d3cd8df50d05001055b067
2017-10-03 17:57:02.412000,0,0,0,0,11,59d3cf6ef50d05001055b084
2017-10-03 17:57:12.031000,0,0,0,0,11,59d3cf78f50d05001055b085
2017-10-04 03:10:46.587000,0,0,0,0,11,59d45136bf9de80010ad483b
2017-10-04 03:31:41.901000,0,2,1,0,21,59d4561dbf9de80010ad483d
2017-10-04 10:46:35.056000,4,2,6,13,11,59d4bc0b1e6fc900118fae6c
2017-10-04 11:02:11.737000,4,2,6,14,11,59d4bfb31e6fc900118fae8b
2017-10-04 11:12:10.375000,4,2,4,11,11,59d4c20a1e6fc900118faeaa
2017-10-04 11:17:34.158000,4,2,6,12,11,59d4c34e1e6fc900118faebf
2017-10-04 11:25:30.138000,0,2,2,0,11,59d4c52a1e6fc900118faede
2017-10-04 13:58:21.574000,4,2,6,13,11,59d4e8fd1753b60011b77336
2017-10-04 15:01:24.999000,0,2,0,0,11,59d4f7c41753b60011b77355
2017-10-04 19:39:36.415000,2,0,4,11,11,59d538f853943400113dcba9
2017-10-04 20:08:27.066000,0,0,0,0,11,59d53fbb53943400113dcbb6
2017-10-04 20:10:40.927000,0,0,0,0,11,59d5404053943400113dcbb7
2017-10-05 00:16:18.860000,4,2,7,22,21,59d579d28d140d00118dfa52
2017-10-05 12:41:28.624000,0,0,3,0,11,59d62878923c2c00116f1393
2017-10-05 12:44:04.428000,0,0,3,0,11,59d62914923c2c00116f139e
2017-10-05 12:45:19.893000,2,0,7,11,11,59d6295f923c2c00116f13a8
2017-10-05 12:55:11.730000,2,0,5,11,11,59d62baf923c2c00116f13c0
2017-10-05 13:02:49.671000,0,0,5,0,11,59d62d79923c2c00116f13d2
2017-10-05 16:53:34.047000,0,0,0,0,11,59d6638e38cae50011186f46
2017-10-05 17:09:58.221000,2,0,5,12,11,59d6676638cae50011186f4b
